polarity,topic,person,mean,stderr,grade_breakdown
affirmative,programming and technology,first,0.3,0.3,"['0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0']"
negative,programming and technology,first,2.5666666666666664,0.3024590575292489,"['3', '3', '3', '3', '3', '3', '3', '0', '3', '3', '3', '3', '2', '3', '3', '3', '3', '0', '3', '3', '3', '3', '3', '0', '3', '3', '3', '0', '3', '3']"
affirmative,programming and technology,third,0.23333333333333334,0.1651785416368723,"['1', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
negative,programming and technology,third,2.1,0.37859388972001823,"['1', '1', '3', '3', '3', '3', '3', '0', '3', '3', '1', '1', '0', '3', '3', '3', '3', '0', '3', '3', '1', '1', '0', '3', '3', '3', '3', '0', '3', '3']"
affirmative,writing & literature,first,0.23333333333333334,0.1724908299584447,"['3', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0']"
negative,writing & literature,first,2.9666666666666663,0.03333333333333335,"['3', '3', '3', '3', '3', '3', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
affirmative,writing & literature,third,0.2,0.14229164972072997,"['2', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
negative,writing & literature,third,2.7,0.16063146994223287,"['3', '3', '3', '0', '3', '0', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '1', '3', '3', '3', '3', '2', '3', '3', '3', '3']"
affirmative,film & theatre,first,0.1,0.09999999999999999,"['0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']"
negative,film & theatre,first,3.0,0.0,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
affirmative,film & theatre,third,0.06666666666666667,0.06666666666666665,"['0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
negative,film & theatre,third,2.166666666666667,0.23438914566365537,"['3', '3', '3', '0', '3', '2', '1', '2', '3', '3', '0', '2', '1', '3', '3', '3', '1', '2', '3', '3', '0', '3', '3', '3', '1', '3', '1', '1', '3', '3']"
affirmative,language & translation,first,0.36666666666666664,0.29585615457098546,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '1', '0', '0', '0', '0', '1', '0', '0', '3']"
negative,language & translation,first,2.566666666666667,0.31446603773522014,"['3', '3', '3', '3', '3', '0', '3', '3', '3', '2', '3', '3', '3', '3', '3', '0', '3', '3', '3', '2', '3', '3', '3', '3', '3', '0', '3', '3', '3', '1']"
affirmative,language & translation,third,0.4,0.29313124351717595,"['0', '0', '0', '0', '0', '1', '0', '0', '0', '3', '1', '0', '0', '0', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '1', '0', '0', '3']"
negative,language & translation,third,2.033333333333333,0.34942633763369746,"['3', '0', '3', '3', '3', '0', '2', '3', '3', '2', '3', '0', '0', '3', '3', '3', '1', '3', '3', '2', '3', '0', '2', '3', '3', '0', '1', '3', '3', '0']"
affirmative,art & culture,first,0.26666666666666666,0.11967032904743342,"['1', '0', '0', '1', '0', '0', '0', '0', '2', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']"
negative,art & culture,first,2.4,0.39999999999999997,"['3', '0', '3', '3', '3', '3', '3', '3', '0', '3', '3', '0', '3', '3', '3', '3', '3', '3', '0', '3', '3', '0', '3', '3', '3', '3', '3', '3', '0', '3']"
affirmative,art & culture,third,0.3333333333333333,0.1405456737852613,"['1', '1', '0', '0', '2', '0', '0', '0', '0', '0', '0', '2', '0', '1', '1', '0', '0', '0', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0']"
negative,art & culture,third,1.9333333333333336,0.313483021770353,"['1', '0', '3', '3', '0', '3', '3', '1', '0', '3', '3', '0', '3', '3', '0', '3', '2', '2', '2', '3', '1', '3', '3', '3', '1', '3', '2', '3', '0', '1']"
affirmative,music & pop-culture,first,0.6333333333333334,0.35642255405212087,"['0', '0', '0', '0', '0', '2', '0', '0', '3', '3', '0', '0', '0', '0', '0', '2', '0', '0', '0', '3', '0', '0', '0', '0', '0', '3', '0', '0', '0', '3']"
