model,polarity,topic,person,mean,stderr,grade_breakdown
openrouter/anthropic/claude-sonnet-4-6,affirmative,programming and technology,first,1.3000000000000003,0.20153730163574504,"['1', '0', '1', '2', '1', '1', '1', '2', '2', '2', '1', '0', '2', '2', '1', '1', '1', '2', '1', '2', '1', '0', '2', '2', '1', '1', '1', '2', '1', '2']"
openrouter/anthropic/claude-sonnet-4-6,negative,programming and technology,first,0.7666666666666667,0.1651785416368723,"['1', '1', '0', '1', '0', '1', '1', '0', '1', '1', '1', '0', '0', '0', '0', '1', '2', '1', '2', '0', '1', '0', '1', '0', '0', '1', '2', '1', '1', '2']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,programming and technology,third,1.0333333333333332,0.23013683530231088,"['0', '0', '2', '2', '1', '0', '1', '2', '1', '1', '1', '0', '2', '1', '0', '0', '1', '2', '0', '2', '1', '0', '1', '3', '1', '1', '0', '2', '1', '2']"
openrouter/anthropic/claude-sonnet-4-6,negative,programming and technology,third,1.0333333333333332,0.21914536581462243,"['2', '0', '0', '1', '1', '1', '2', '0', '2', '2', '1', '1', '1', '0', '0', '1', '2', '0', '2', '2', '1', '1', '0', '1', '1', '1', '2', '0', '1', '2']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,writing & literature,first,1.0,0.15713484026367722,"['0', '0', '1', '1', '0', '1', '1', '1', '1', '1', '1', '1', '2', '2', '1', '1', '1', '1', '1', '2', '0', '0', '2', '1', '0', '2', '1', '1', '2', '1']"
openrouter/anthropic/claude-sonnet-4-6,negative,writing & literature,first,1.3666666666666667,0.19531550923607716,"['3', '2', '2', '1', '2', '0', '1', '1', '1', '1', '2', '2', '1', '1', '0', '1', '1', '1', '0', '1', '3', '2', '2', '2', '2', '1', '1', '1', '1', '2']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,writing & literature,third,1.0333333333333334,0.1753303759784389,"['0', '1', '1', '1', '0', '2', '1', '2', '0', '1', '1', '1', '0', '2', '1', '2', '2', '1', '1', '1', '0', '1', '1', '1', '0', '2', '1', '2', '1', '1']"
openrouter/anthropic/claude-sonnet-4-6,negative,writing & literature,third,1.5333333333333334,0.19372884193514103,"['3', '2', '2', '1', '2', '1', '1', '0', '2', '1', '3', '2', '2', '2', '1', '1', '1', '1', '2', '1', '2', '2', '1', '2', '2', '1', '1', '1', '2', '1']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,film & theatre,first,1.1333333333333333,0.16629588385661961,"['1', '0', '2', '1', '2', '1', '2', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '2', '1', '0', '1', '0', '2', '1', '2', '0', '1', '2', '1', '1']"
openrouter/anthropic/claude-sonnet-4-6,negative,film & theatre,first,0.7666666666666666,0.19907192074632132,"['2', '0', '0', '0', '0', '2', '1', '0', '1', '1', '1', '2', '0', '0', '1', '1', '1', '0', '2', '1', '0', '1', '0', '0', '0', '1', '1', '0', '2', '2']"
