polarity,topic,person,mean,stderr,grade_breakdown
affirmative,programming and technology,first,2.1,0.24870032539554873,"['2', '3', '1', '1', '1', '3', '1', '3', '2', '3', '2', '3', '2', '2', '1', '3', '1', '3', '1', '3', '2', '3', '2', '2', '1', '2', '1', '3', '3', '3']"
negative,programming and technology,first,0.6666666666666667,0.23306863292670035,"['2', '0', '1', '2', '0', '0', '0', '0', '0', '1', '2', '0', '1', '2', '0', '0', '2', '0', '0', '1', '1', '0', '1', '2', '1', '0', '0', '0', '0', '1']"
affirmative,programming and technology,third,1.9,0.1651785416368723,"['2', '1', '2', '2', '1', '2', '1', '3', '1', '2', '2', '3', '2', '2', '1', '2', '2', '2', '2', '2', '2', '3', '2', '3', '1', '2', '1', '3', '1', '2']"
negative,programming and technology,third,0.7,0.16063146994223287,"['2', '0', '1', '2', '1', '0', '0', '1', '0', '1', '0', '0', '1', '2', '1', '0', '1', '1', '0', '1', '1', '0', '1', '0', '0', '0', '2', '1', '0', '1']"
affirmative,writing & literature,first,1.4666666666666668,0.24444444444444444,"['1', '1', '2', '1', '0', '2', '1', '2', '2', '3', '1', '1', '1', '1', '0', '2', '2', '1', '2', '3', '0', '1', '2', '1', '1', '2', '1', '2', '2', '3']"
negative,writing & literature,first,1.4,0.2096440251568134,"['1', '1', '1', '1', '2', '1', '1', '2', '1', '3', '1', '1', '1', '2', '1', '1', '1', '2', '1', '3', '1', '1', '1', '1', '2', '1', '1', '2', '1', '3']"
affirmative,writing & literature,third,1.4666666666666666,0.21198648920376567,"['1', '1', '2', '1', '1', '1', '1', '2', '2', '3', '1', '1', '2', '1', '0', '2', '1', '2', '2', '2', '1', '1', '1', '1', '0', '2', '2', '2', '2', '3']"
negative,writing & literature,third,1.2666666666666666,0.22110831935702666,"['1', '1', '1', '1', '0', '1', '1', '2', '1', '3', '1', '1', '1', '1', '1', '1', '1', '2', '0', '3', '1', '1', '1', '1', '2', '1', '1', '2', '1', '3']"
affirmative,film & theatre,first,1.9666666666666668,0.16063146994223287,"['2', '1', '1', '2', '2', '1', '2', '2', '2', '3', '2', '2', '2', '2', '2', '1', '2', '3', '2', '3', '2', '2', '2', '2', '2', '1', '2', '2', '2', '3']"
negative,film & theatre,first,1.1333333333333333,0.12372809695177828,"['1', '2', '2', '1', '1', '1', '1', '0', '1', '1', '1', '1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '2', '2', '1', '0', '1', '2', '1', '1', '0']"
affirmative,film & theatre,third,1.7666666666666668,0.16517854163687223,"['2', '1', '1', '2', '2', '1', '2', '2', '2', '3', '2', '1', '1', '1', '2', '1', '2', '2', '2', '2', '2', '1', '2', '2', '2', '1', '2', '2', '2', '3']"
negative,film & theatre,third,0.9999999999999998,0.16480441082434805,"['1', '1', '1', '1', '1', '1', '2', '1', '1', '0', '0', '1', '1', '1', '1', '2', '2', '1', '1', '0', '1', '1', '1', '1', '2', '1', '2', '1', '0', '0']"
affirmative,language & translation,first,2.3,0.11600340565456166,"['3', '3', '2', '2', '2', '2', '2', '2', '2', '2', '3', '2', '2', '2', '2', '3', '2', '3', '2', '2', '3', '3', '2', '2', '2', '2', '3', '3', '2', '2']"
negative,language & translation,first,0.9333333333333333,0.2523959264800122,"['0', '2', '1', '2', '1', '1', '1', '0', '0', '2', '0', '2', '1', '1', '1', '1', '0', '0', '0', '2', '1', '3', '1', '1', '1', '1', '0', '0', '0', '2']"
affirmative,language & translation,third,2.2666666666666666,0.13877773329774215,"['3', '2', '2', '2', '2', '2', '2', '2', '2', '2', '3', '3', '2', '2', '2', '1', '2', '3', '3', '3', '3', '3', '2', '3', '1', '2', '2', '2', '2', '3']"
negative,language & translation,third,1.7,0.22470831573507424,"['3', '3', '1', '2', '1', '1', '1', '1', '2', '2', '3', '3', '2', '2', '1', '1', '1', '1', '2', '2', '3', '2', '1', '2', '2', '1', '1', '1', '1', '2']"
