model,polarity,topic,person,mean,stderr,grade_breakdown
openrouter/anthropic/claude-sonnet-4-6,affirmative,programming and technology,first,0.0666666666666666,0.0666666666666666,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '0']"
openrouter/anthropic/claude-sonnet-4-6,negative,programming and technology,first,2.9,0.0999999999999999,"['3', '3', '3', '3', '3', '3', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3', '3', '2', '3', '3']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,programming and technology,third,0.0,0.0,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
openrouter/anthropic/claude-sonnet-4-6,negative,programming and technology,third,3.0,0.0,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,writing & literature,first,0.3,0.1527525231651946,"['1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '2', '0', '0', '0', '1', '0', '0', '2', '0', '0', '1', '0', '0', '0', '0', '0', '0']"
openrouter/anthropic/claude-sonnet-4-6,negative,writing & literature,first,3.0,0.0,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,writing & literature,third,0.4333333333333333,0.1724908299584446,"['2', '0', '1', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '2', '0', '1', '0', '0', '1', '0', '2', '0', '0', '2', '0', '0', '0', '0', '0', '0']"
openrouter/anthropic/claude-sonnet-4-6,negative,writing & literature,third,2.7333333333333334,0.1845916413981794,"['2', '3', '2', '3', '3', '3', '3', '3', '3', '3', '2', '3', '2', '3', '3', '3', '3', '3', '3', '3', '0', '3', '2', '3', '3', '3', '3', '3', '3', '3']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,film & theatre,first,0.2999999999999999,0.1606314699422328,"['0', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '0', '0']"
openrouter/anthropic/claude-sonnet-4-6,negative,film & theatre,first,2.8666666666666667,0.0888888888888888,"['3', '3', '3', '3', '3', '2', '2', '3', '3', '3', '3', '3', '3', '3', '3', '2', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '2', '3', '3', '3']"
openrouter/anthropic/claude-sonnet-4-6,affirmative,film & theatre,third,0.1,0.0999999999999999,"['0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0']"
