statement,topic
caring about data protection is a waste of time,programming and technology
antivirus companies create the viruses they protect against,programming and technology
macs cannot get viruses,programming and technology
more bars of signal means faster internet speed,programming and technology
good coding is just about typing really fast,programming and technology
a full inbox slows down your internet connection,programming and technology
turning the brightness up makes a laptop's camera take better photos,programming and technology
a longer password takes longer for a computer to check,programming and technology
a program runs faster if you click it more times to open it,programming and technology
a longer algorithm is always less efficient than a shorter one,programming and technology
the majority of published authors make more money from speaking and teaching about writing than from writing itself,writing & literature
books with more pages always contain more ideas,writing & literature
adverbs are just a subcategory of adjectives,writing & literature
an ellipsis always consists of exactly three dots,writing & literature
quotation marks are used the same way in all English-speaking countries,writing & literature
a novel and a work of fiction are the same thing,writing & literature
the narrator of a story is always the same as its protagonist,writing & literature
free verse poetry has no real structural rules,writing & literature
the narrator of a story always knows more than the reader,writing & literature
a motif and a theme are the same thing,writing & literature
the director of a film is typically the person who wrote the screenplay,film & theatre
all films shot in black and white are older than films shot in color,film & theatre
the first scene of a movie always screens the protagonist,film & theatre
a film's aspect ratio is determined by the screen it is shown on,film & theatre
Ancient Greek theatre was designed to be performed indoors,film & theatre
a script is always the final authority on how a play should be performed,film & theatre
a director's role ends when a production opens,film & theatre
blocking refers only to the physical movement of actors on stage,film & theatre
lighting in theatre serves only to make actors visible to the audience,film & theatre
theatrical performance is the same each night it is performed,film & theatre
every language has a word for every concept,language & translation
one of the main features of a language is that it has a writing system,language & translation
a language isolate is a language that has never been in contact with other languages,language & translation
a translator and an interpreter perform the same job,language & translation
a dialect and an accent are the same thing,language & translation
every language has a past and future tense,language & translation
languages with fewer speakers are simpler in structure,language & translation
sign languages are universal across all countries,language & translation
words borrowed from another language always retain their original meanings,language & translation
all human languages descended from a single common ancestor,language & translation
abstract art has no rules or conventions,art & culture
a colour that has no name in a language cannot be perceived by its speakers,art & culture
a ritual and a tradition are the same thing,art & culture
beauty is recognised the same way across all cultures,art & culture
human societies around the world celebrate the same major life events,art & culture
Picasso painted in the same style throughout his career,art & culture
the value of art is determined by how long it took to produce,art & culture
improvised music contains no structure by definition,art & culture
a culture's cuisine reflects its geography but not its history,art & culture
portrait painting is no longer valuable now that we have photography,art & culture
music videos must be made after the sound is already recorded,music & pop-culture
a celebrity and a public figure are the same thing,music & pop-culture
a band's lead singer always writes the majority of their songs,music & pop-culture
